Work Item Id,Work Item Type,Project Name,Iteration Path,Assigned To,Area Path,Date,Created Date,Activated Date,Resolved Date,Closed Date,Cycle Time Resolved,Changed Date,Iteration Start Date,Iteration End Date,State,State Category,Is Current
3922212,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-22 00:00:00,2022-12-22 00:00:00,2023-01-20 00:00:00,22,2023-01-20 00:00:00,,,Closed,Completed,TRUE
3922474,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-23 00:00:00,2022-12-23 00:00:00,2023-01-04 00:00:00,9,2023-01-04 00:00:00,,,Closed,Completed,TRUE
3922509,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-23 00:00:00,2022-12-23 00:00:00,2023-01-05 00:00:00,10,2023-01-05 00:00:00,,,Closed,Completed,TRUE
3922571,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-23 00:00:00,2022-12-23 00:00:00,2023-01-05 00:00:00,10,2023-01-05 00:00:00,,,Closed,Completed,TRUE
3922606,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-23 00:00:00,2022-12-23 00:00:00,2023-01-06 00:00:00,11,2023-01-06 00:00:00,,,Closed,Completed,TRUE
3922254,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-26 00:00:00,2022-12-26 00:00:00,2023-01-04 00:00:00,8,2023-01-04 00:00:00,,,Closed,Completed,TRUE
3922208,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-26 00:00:00,2022-12-26 00:00:00,2023-01-05 00:00:00,9,2023-01-05 00:00:00,,,Closed,Completed,TRUE
4057147,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-26 00:00:00,2022-12-27 00:00:00,,2022-12-28 00:00:00,2,2022-12-28 00:00:00,,,Closed,Completed,TRUE
4057148,Bug,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-26 00:00:00,2022-12-27 00:00:00,,2022-12-28 00:00:00,2,2022-12-28 00:00:00,,,Closed,Completed,TRUE
3922407,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-27 00:00:00,2022-12-27 00:00:00,2023-01-04 00:00:00,7,2023-01-04 00:00:00,,,Closed,Completed,TRUE
3922466,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-27 00:00:00,2022-12-27 00:00:00,2023-01-04 00:00:00,7,2023-01-04 00:00:00,,,Closed,Completed,TRUE
3922281,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-27 00:00:00,2022-12-27 00:00:00,2023-01-05 00:00:00,8,2023-01-05 00:00:00,,,Closed,Completed,TRUE
3922504,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-27 00:00:00,2022-12-27 00:00:00,2023-01-05 00:00:00,8,2023-01-05 00:00:00,,,Closed,Completed,TRUE
4042897,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-12-21 00:00:00,2022-12-27 00:00:00,2022-12-30 00:00:00,2023-01-30 00:00:00,22,2023-01-30 00:00:00,,,Closed,Completed,TRUE
3922540,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-28 00:00:00,2022-12-28 00:00:00,2023-01-05 00:00:00,7,2023-01-05 00:00:00,,,Closed,Completed,TRUE
3922567,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-28 00:00:00,2022-12-28 00:00:00,2023-01-05 00:00:00,7,2023-01-05 00:00:00,,,Closed,Completed,TRUE
3922601,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-28 00:00:00,2022-12-28 00:00:00,2022-12-28 00:00:00,2023-01-06 00:00:00,8,2023-01-06 00:00:00,,,Closed,Completed,TRUE
3895351,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-21 00:00:00,2022-12-28 00:00:00,2022-12-28 00:00:00,2023-01-05 00:00:00,7,2023-01-10 00:00:00,,,Closed,Completed,TRUE
3917503,User Story,MP-8465878480,AR-8465878480,AM-8397111097,AR-8465810103,2023-07-18 00:00:00,2022-11-25 00:00:00,2022-12-29 00:00:00,2022-12-29 00:00:00,2023-01-03 00:00:00,4,2023-01-03 00:00:00,,,Closed,Completed,TRUE
